,Twice Around The Tree,Christofides,Branch and Bound
16,"['5.11530', '4.76666']","['4.12092', '5.42677']","['3.80295', '4.52721']"
32,"['6.78848', '8.95759']","['7.27664', '8.69663']","['NA', 'NA']"
64,"['7.92183', '9.90764']","['9.25765', '10.28145']","['NA', 'NA']"
128,"['12.26242', '15.07830']","['12.36543', '15.86461']","['NA', 'NA']"
256,"['15.94390', '20.23065']","['16.72676', '20.85476']","['NA', 'NA']"
512,"['22.36349', '28.35046']","['23.08387', '28.32556']","['NA', 'NA']"
1024,"['31.45198', '39.23458']","['31.72484', '40.97122']","['NA', 'NA']"
